0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
0.95, 120, 0.05, 0.03
